date,INTC
2003-08-29,17.9423077081
2003-09-02,18.0364436353
2003-09-03,17.7101057546
2003-09-04,17.9485834366
2003-09-05,18.0176164498
2003-09-08,18.3125756881
2003-09-09,18.0678222776
2003-09-10,17.35866496
2003-09-11,17.5908669136
2003-09-12,17.7854144963
2003-09-15,17.5657639997
2003-09-16,18.1431310193
2003-09-17,18.1243038339
2003-09-18,18.3000242312
2003-09-19,18.3062999597
2003-09-22,17.8983776088
2003-09-23,18.1613306319
2003-09-24,17.4339737017
2003-09-25,17.2268746621
2003-09-26,17.1139115495
2003-09-29,17.8042416817
2003-09-30,17.2708047614
2003-10-01,17.967410622
2003-10-02,17.9611348936
2003-10-03,18.5824320125
2003-10-06,18.5510533702
2003-10-07,18.7958067807
2003-10-08,18.6200863834
2003-10-09,18.6828436681
2003-10-10,19.0970417474
2003-10-13,19.329243701
2003-10-14,19.5049640983
2003-10-15,19.9317136345
2003-10-16,20.2266728728
2003-10-17,19.8689563498
2003-10-20,20.1827427735
2003-10-21,20.1588950053
2003-10-22,19.7810961511
2003-10-23,19.5928242969
2003-10-24,19.5049640983
2003-10-27,19.7183388664
2003-10-28,20.5028049257
